id_aluno,id_professor,aulas_bimestre,nota_p1_b1,nota_p2_b1,ativs_entregues_b1,ativs_total_b1,faltas_b1,nota_p1_b2,nota_p2_b2,ativs_entregues_b2,ativs_total_b2,faltas_b2,nota_p1_b3,nota_p2_b3,ativs_entregues_b3,ativs_total_b3,faltas_b3,nota_p1_b4,nota_p2_b4,ativs_entregues_b4,ativs_total_b4,faltas_b4,disciplina,media_b1,taxa_atividades_b1,media_b2,taxa_atividades_b2,media_b3,taxa_atividades_b3,media_b4,taxa_atividades_b4,media_anual,total_faltas,frequencia_anual,total_ativs_entregues,total_ativs,taxa_atividades_anual,situacao,matricula,nome,turma,serie,genero,data_nascimento,disciplina_key,faixa_desempenho,nivel_saeb_est
20240001,P001,60,9.2,8.4,4,10,8,9.4,10.0,5,10,11,8.3,8.3,5,10,16,10.0,9.5,2,10,14,Matemática,8.8,0.4,9.7,0.5,8.3,0.5,9.75,0.2,9.14,49,0.7958,16,40,0.4,Aprovado,20240001,Bruno Farias,1ºA,1º Ano,M,2009-08-27,matematica,Avançado,9
20240002,P001,60,8.0,9.3,8,10,8,8.1,8.1,6,10,4,8.9,6.3,8,10,10,6.5,7.9,7,10,10,Matemática,8.65,0.8,8.1,0.6,7.6,0.8,7.2,0.7,7.89,32,0.8667,29,40,0.725,Aprovado,20240002,Kaio Gomes,1ºA,1º Ano,M,2008-02-14,matematica,Adequado,8
20240003,P001,60,7.4,9.0,5,10,12,7.5,6.9,8,10,8,10.0,8.3,8,10,3,8.7,6.9,6,10,4,Matemática,8.2,0.5,7.2,0.8,9.15,0.8,7.8,0.6,8.09,27,0.8875,27,40,0.675,Aprovado,20240003,Igor Cardoso,1ºA,1º Ano,M,2007-07-19,matematica,Adequado,8
20240004,P001,60,8.0,8.7,8,10,5,7.2,9.1,8,10,3,7.9,8.3,9,10,4,7.9,10.0,9,10,1,Matemática,8.35,0.8,8.15,0.8,8.1,0.9,8.95,0.9,8.39,13,0.9458,34,40,0.85,Aprovado,20240004,Beatriz Pereira,1ºA,1º Ano,F,2007-07-28,matematica,Adequado,8
20240005,P001,60,8.6,7.3,9,10,4,9.6,7.1,10,10,5,8.9,6.3,10,10,4,7.0,8.8,8,10,2,Matemática,7.95,0.9,8.35,1.0,7.6,1.0,7.9,0.8,7.95,15,0.9375,37,40,0.925,Aprovado,20240005,Heloísa Rodrigues,1ºA,1º Ano,F,2008-04-11,matematica,Adequado,8
20240006,P001,60,9.5,8.8,4,10,11,8.5,8.2,5,10,20,6.8,7.7,4,10,19,8.1,9.9,5,10,11,Matemática,9.15,0.4,8.35,0.5,7.25,0.4,9.0,0.5,8.44,61,0.7458,18,40,0.45,Reprovado,20240006,Kaio Moreira,1ºA,1º Ano,M,2007-09-21,matematica,Adequado,8
20240007,P001,60,9.0,6.5,9,10,3,9.0,8.1,6,10,8,7.8,9.3,6,10,12,9.8,9.7,8,10,8,Matemática,7.75,0.9,8.55,0.6,8.55,0.6,9.75,0.8,8.65,31,0.8708,29,40,0.725,Aprovado,20240007,Tatiane Almeida,1ºA,1º Ano,F,2009-04-25,matematica,Avançado,9
20240008,P001,60,7.6,8.2,8,10,9,9.0,9.8,7,10,12,8.0,8.4,6,10,7,7.3,7.2,5,10,12,Matemática,7.9,0.8,9.4,0.7,8.2,0.6,7.25,0.5,8.19,40,0.8333,26,40,0.65,Aprovado,20240008,Kamila Ferreira,1ºA,1º Ano,F,2009-11-27,matematica,Adequado,8
20240009,P001,60,9.6,10.0,10,10,2,8.5,9.8,10,10,5,9.0,7.8,10,10,0,9.0,10.0,9,10,3,Matemática,9.8,1.0,9.15,1.0,8.4,1.0,9.5,0.9,9.21,10,0.9583,39,40,0.975,Aprovado,20240009,Mariana Oliveira,1ºA,1º Ano,F,2007-03-09,matematica,Avançado,9
20240010,P001,60,8.6,10.0,6,10,6,5.5,9.6,5,10,7,8.7,8.3,5,10,11,8.7,6.2,6,10,9,Matemática,9.3,0.6,7.55,0.5,8.5,0.5,7.45,0.6,8.2,33,0.8625,22,40,0.55,Aprovado,20240010,Flávia Barros,1ºA,1º Ano,F,2009-03-25,matematica,Adequado,8
